Filename,70471000_RCL_N_F00_2024-09-03_22_53_08.csv
Record Description,SR_407
Hardware ID,Laserlux G7
Firmware Version,1.4123_2023-11-15 11:04:48 -0800_1113_2021 SYSN LZ1024
Units,English
Timezone Offset,-04
Cal Factor,0.304755
Cal Standard Value,206.000000
Cal IR Standard Value,1.000000
Calibration Date and Time,2024-09-03_21:41:21
Stripe Colortype,Yellow
Minimum Good Value,250.000000,0,255,0
Minimum Marginal Value-2,150.000000,255,255,0
Minimum Marginal Value-1,80.000000,255,0,0
Minimum Marginal Value-0,80.000000,255,0,0
Minimum Valid Value,50.000000,255,0,0
Road Condition Label and Type 0,Pavement_Change,on-off
Road Condition Label and Type 1,Pause,on-off(auto_pause)
Road Condition Label and Type 2,Bridge,on-off
Road Condition Label and Type 3,Audible,on-off
Road Condition Label and Type 4,Rumble_Stripe,on-off
Road Condition Label and Type 5,Construction,on-off
Road Condition Label and Type 6,No_Line,on-off(auto_pause)
Road Condition Label and Type 7,Line_Damage,on-off(auto_pause)
Road Condition Label and Type 8,Debris_on_Line,on-off(auto_pause)
Road Condition Label and Type 9,Line_Interference,on-off(auto_pause)
Record #,Odometer,Date,Time,Latitude,Longitude,GPS Accuracy,Vehicle Speed,Temperature,Humdity,Valid_Scans_Left,Retro_Left_Maximum,Retro_Left_Minimum,Retro_Left_Average,Retro_Left_StdDev,Retro_Left_Stripewidth,Retro_Left_Contrast,Retro_Left_CIE1931_x,Retro_Left_CIE1931_y,Retro_Left_Color,RPMS_Found_Left,Valid_Scans_Right,Retro_Right_Maximum,Retro_Right_Minimum,Retro_Right_Average,Retro_Right_StdDev,Retro_Right_Stripewidth,Retro_Right_Contrast,Retro_Right_CIE1931_x,Retro_Right_CIE1931_y,Retro_Right_Color,RPMS_Found_Right,Two_Stripe_Average,StripeType,Road_Conditions
0,0.000,2024-09-03,22:53:08,28.452444,-80.879074,0.67,68,80.84, 76.4%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
1,0.100,2024-09-03,22:53:14,28.452206,-80.877449,0.69,62,80.92, 76.3%,2058,872.2,55.8,214.0,64.6,   7.1,0.97,0.000,0.000,NA,13,258,266.1,55.5,207.9,29.5,   7.3,0.96,0.000,0.000,NA,0,213.3,Double_Solid,
2,0.200,2024-09-03,22:53:20,28.452045,-80.875824,0.69,56,80.91, 76.3%,2265,899.6,50.6,199.0,84.2,   6.3,0.97,0.000,0.000,NA,13,339,269.1,51.2,184.9,51.4,   6.2,0.93,0.000,0.000,NA,0,197.1,Double_Solid,
(Road Condition Start),0.232,2024-09-03,22:53:22,28.452070,-80.875259,0.69,57,80.95, 76.6%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,2
(Road Condition End),0.280,2024-09-03,22:53:25,28.452173,-80.874535,0.70,56,80.89, 76.7%,,,,,,,,,,,,,,,,,,,,,,,,Double_Solid,
3,0.300,2024-09-03,22:53:27,28.452253,-80.874191,0.69,56,80.88, 76.7%,2343,888.7,50.9,288.3,114.3,   6.3,0.95,0.000,0.000,NA,14,344,484.6,50.3,215.4,103.1,   5.7,0.89,0.000,0.000,NA,0,279.0,Double_Solid,
4,0.400,2024-09-03,22:53:33,28.452845,-80.872688,0.68,59,80.88, 76.0%,2376,917.9,50.6,245.2,74.9,   6.5,0.97,0.000,0.000,NA,12,309,353.2,82.9,233.0,57.8,   6.5,0.96,0.000,0.000,NA,0,243.8,Double_Solid,
5,0.500,2024-09-03,22:53:39,28.453766,-80.871422,0.66,57,80.94, 75.4%,2308,662.2,52.7,286.3,59.8,   6.5,0.97,0.000,0.000,NA,12,284,374.5,53.9,279.0,48.7,   6.5,0.97,0.000,0.000,NA,0,285.5,Double_Solid,
6,0.600,2024-09-03,22:53:46,28.454945,-80.870476,0.59,55,80.90, 75.6%,2417,873.7,50.6,251.4,81.1,   6.2,0.97,0.000,0.000,NA,12,338,368.4,54.6,241.7,50.3,   6.3,0.96,0.000,0.000,NA,0,250.2,Double_Solid,
7,0.700,2024-09-03,22:53:52,28.456188,-80.869621,0.52,55,80.99, 75.6%,2439,893.8,50.3,201.8,61.9,   5.7,0.97,0.000,0.000,NA,12,349,265.7,51.2,185.7,47.1,   5.5,0.94,0.000,0.000,NA,0,199.8,Double_Solid,
